,logFC,AveExpr,t,P.Value,adj.P.Val,B
RABGAP1L,-0.703452402957311,5.58606053542992,-10.6588230570759,1.26814417322301e-23,9.66518489490598e-22,42.8758611914689
FUCA1,-0.799165056690541,8.4106225121213,-10.6125437801648,1.8741467346022e-23,1.41940094201759e-21,42.4908251475804
S100A4,-1.27108742407193,8.00711968506112,-10.5984223646197,2.11097527297296e-23,1.58877276482127e-21,42.3735278074634
BIN2,-0.58796260698356,5.59409020839913,-10.5800378426452,2.46437367625085e-23,1.84322905648527e-21,42.220953668167
DENND1C,-0.345872202440062,4.76573894912132,-10.5683307077784,2.71944262112463e-23,2.02145234836931e-21,42.1238747119407
TLR7,-0.94175743706711,5.545324170197,-10.5201582693047,4.07571083412645e-23,3.01102514506446e-21,41.7250658395298
LYN,-0.836261110686513,7.53691005748207,-10.5083944952284,4.49828110165738e-23,3.30294518452184e-21,41.6278358658399
RIN3,-0.367297011725959,5.03709117453987,-10.4977575529137,4.91770699968443e-23,3.58903198122424e-21,41.5399735412183
CD300A,-0.518630781101517,5.5872803650672,-10.4862111563187,5.41706238926773e-23,3.91150389694857e-21,41.4446573385995
DPYD,-1.29072029320149,8.35541929573144,-10.4860467714116,5.4245237567714e-23,3.91150389694857e-21,41.4433007700185
HLA-DQB1,-1.29547696823165,7.58940083912905,-10.4715781383897,6.12287437165752e-23,4.38878887997023e-21,41.3239482681118
SCPEP1,-0.660214645797923,7.73400673302897,-10.4359773005655,8.24498076011362e-23,5.87491469309398e-21,41.030682950335
FILIP1L,-0.967948716344077,7.54965598775646,-10.42812294747,8.80375589907604e-23,6.23616638451021e-21,40.9660602797549
FN1,-0.773150574691885,9.32721841621141,-10.4241619624091,9.09965905027281e-23,6.40807568908686e-21,40.9334815447294
CTSZ,-0.531682577291008,6.17729491475381,-10.416950447189,9.66398530493935e-23,6.76591343267905e-21,40.8741860490514
HLA-DRA,-1.40795681814294,10.4953940005953,-10.4139473121655,9.90912191737021e-23,6.89743619242613e-21,40.849500333203
COL15A1,-1.10065784032465,5.14414638592261,-10.4105061083055,1.01976193526343e-22,7.05745587611622e-21,40.821218811786
MMP19,-0.42413000266867,5.41551990565487,-10.4014546556474,1.09969145459841e-22,7.5671339978709e-21,40.7468555690361
MGAT4A,-0.682624679980088,6.00858347118144,-10.3897534449907,1.21230698931376e-22,8.29465952574792e-21,40.6507790278797
CSF1R,-1.02304683940637,8.10034657925795,-10.3775057013771,1.34246466984933e-22,9.13331048266984e-21,40.5502828667157
AMPD3,-0.362461329366043,5.68995695079547,-10.337610566372,1.87052701152651e-22,1.26338176971067e-20,40.2234149434248
SYNGR2,-0.819686025284347,7.77047466263361,-10.3371323155061,1.87797157264748e-22,1.26338176971067e-20,40.2195010422469
ACSL1,-0.900809798558411,7.44348676425359,-10.3304678407279,1.98482723140401e-22,1.32784941780928e-20,40.1649715312799
NOD2,-0.521116454659037,4.95486806660964,-10.3157308784981,2.24303515100881e-22,1.49229996068774e-20,40.0444656252452
CH25H,-1.34198506973407,6.35406414544295,-10.3121845433751,2.30999416528477e-22,1.52840383177798e-20,40.0154819755505
STOM,-0.664776271299893,7.76746693660063,-10.2974393882677,2.61035483777464e-22,1.71769906866023e-20,39.8950352516633
SIGLEC7,-0.340805986705392,5.09967379234913,-10.2752833953879,3.13608519439718e-22,2.05243140820277e-20,39.7142444527384
EVI2B,-1.03112376995955,7.22151181539796,-10.2695079380982,3.28960761882799e-22,2.14126783491495e-20,39.6671551960455
CLEC4A,-0.604763087241686,5.28609366512824,-10.25433192189,3.72951659479562e-22,2.41456122766284e-20,39.5434949147704
LY86,-1.10955824256192,7.98877368895736,-10.2180827041169,5.03108179520555e-22,3.23980144266659e-20,39.2485621312614
SERPINB1,-1.00322278176822,6.79970819795041,-10.2015904276046,5.76398428507633e-22,3.69201589153666e-20,39.1145829917836
RNASET2,-0.767408154975129,9.42505868109228,-10.1650732973927,7.78571138636217e-22,4.96061039759647e-20,38.8183877779909
LPXN,-0.724235195538196,7.0569512103554,-10.1568948280453,8.32731173434699e-22,5.27776252131613e-20,38.7521384262914
